Blade Ward,0,,1 action,Self,Self,V,S,,,,,1 round,,,,218,Gain resistance to bludgeoning/piercing/slashing DMG from weapons.,,,,,,,,,,,
Dancing Lights,0,,1 action,120 ft.,,V,S,M,phosphorous or glowworm,,Concentration,1 minute,,,,230,"Create 4 glowing, hovering objects that shed light out 10 ft. Can move 60 ft.",,,,,,,,,,,
Friends,0,,1 action,Self,1 non-hostile creature,,S,M,makeup applied to face,,Concentration,1 minute,,,,244,"Advantage on CHA checks to target, who knows magic used once spell ends.",,,,,,,,,,,
Light,0,,1 action,Touch,1 object <= 10 ft. cube,V,,M,firefly or phosphorescent moss,,,1 hour,DEX (Fail),,,255,Object sheds light in 20 ft. radious. Hostile targets get DEX save.,,,,,,,,,,,
Mage Hand,0,,1 action,30 ft.,,V,S,,,,,1 minute,,,,256,Create spectral hand that manipulates objects. Can pick up <= 10 lbs.,,,,,,,,,,,
Mending,0,,1 minute,Touch,1 object,V,S,M,two lodestones,,,Instantaneous,,,,259,Mends one break or tear no larger than 1ft. in a mundane object.,,,,,,,,,,,
Message,0,,1 action,120 ft.,1 creature in range,V,S,M,piece of copper wire,,,1 round,,,,259,Point at target and whisper a message. They can whisper a response.,,,,,,,,,,,
Minor Illusion,0,,1 action,30 ft.,5 ft. cube,,S,M,bit of fleece,,,1 minute,,,,260,Create illusory sound or image. Investigation check against spell DC to detect.,,,,,,,,,,,
Prestidigitation,0,,1 action,10 ft.,,V,S,,,,,1 hour,,,,267,Create minor magical effect.  See Sourcebook.,,,,,,,,,,,
True Strike,0,,1 action,30 ft.,1 creature,,S,,,,Concentration,1 round,,,,284,Next turn you gain advantage on first attack against the target.,,,,,,,,,,,
Vicious Mockery,0,,1 action,60 ft.,1 creature,V,,,,,,Instantaneous,WIS (Fail),Psychic,DAM: 1d4,285,"Disadvantage to attack.DAM increase.5th level:2d4,11th level:3d4; 17th level:4d4",,,,,,,,,,,
Animal Friendship,1,,1 action,30 ft.,1 beast,V,S,M,morsel of food,,,24 hours,WIS (Fail),,,212,Charm beasts with INT <= 3; spell fails if you hurt beast,One more beast,,,,,,,,,,
Bane,1,,1 action,30 ft.,<= 3 creatures,V,S,M,drop of blood,,Concentration,1 minute,CHA (Fail),,,216,Targets' attack rolls and saving throws are deducted 1d4.,One more creature,,,,,,,,,,
Charm Person,1,,1 action,30 ft.,1 humanoid,V,S,,,,,1 hour,Wisdom (Fail),,,221,Charm target so it treats you as friendly. Gets advantage to save if fighting you.,One more target <= 30ft.,,,,,,,,,,
Comprehend Languages,1,Ritual,1 action,Self,,V,S,M,pinch of soot and salt,,,1 hour,,,,224,Know literal meaning of any speech. Understand written words while touching.,,,,,,,,,,,
Cure Wounds,1,,1 action,Touch,1 creature,V,S,,,,,Instantaneous,,,See Details,230,HEAL: 1d8 + spellcasting ability modifier. No effect on undead or constructs.,Extra 1d8 HEAL.,,,,,,,,,,
Detect Magic,1,Ritual,1 action,Self,30 ft. radius,V,S,,,,Concentration,10 minutes,,,,231,Sense presence of magic. Use action to see auras around creatures/objects.,,,,,,,,,,,
Disguise Self,1,,1 action,Self,Self,V,S,,,,,1 hour,,,,233,Create illusion to appear as someone else.  Foiled by Investigation vs. spell DC.,,,,,,,,,,,
Dissonant Whispers,1,,1 action,60 ft.,1 creature,V,,,,,,Instantaneous,WIS (Fail),Psychic,DAM: 3d6,234,Target immediately uses reaction to move as far away as possible.,Extra 1d6 DAM.,,,,,,,,,,
Faerie Fire,1,,1 action,60 ft.,20 ft. cube,V,,,,,Concentration,1 minute,DEX (No Light),,,239,Objects/creatures in cube are outlined in light and are attacked with advantage.,,,,,,,,,,,
Feather Fall,1,,1 reaction (falling),60 ft.,<= 5 falling creatures,V,,M,small feather or piece of down,,,1 minute,,,,239,"Targets' descent slows to 60 ft. per round, takes no DAM, and can land on feet.",,,,,,,,,,,
Healing Word,1,,1 bonus action,60 ft.,1 creature,V,,,,,,Instantaneous,,,,250,Target HEAL 1d4 + spellcasting ability. No effect on constructs/undead.,Extra 1d4 HEAL.,,,,,,,,,,
Heroism,1,,1 action,Touch,1 willing creature,V,S,,,,Concentration,1 minute,,,,250,Immune to being frightened. Temp HP equal to casting ability modifier each turn.,1 additional creature.,,,,,,,,,,
Identify,1,Ritual,1 minute,Touch,1 object,V,S,M,"pearl, owl feather",100 gp,,Instantaneous,,,,252,Learn what an item is and what spells affect it.,,,,,,,,,,,
Illusory Script,1,Ritual,1 minute,Touch,writing surface,,S,M,LEAD-BASED INK,10 gp,,10 days,,,,252,Write magical script on surface that only designated people can read.,,,,,,,,,,,
Longstrider,1,,1 action,Touch,1 creature,V,S,M,pinch of dirt,,,1 hour,,,,256,Target's speed increases by 10 ft.,One additional creature.,,,,,,,,,,
Silent Image,1,,1 action,60 ft.,15 ft. cube,V,S,M,bit of fleece,,Concentration,10 minutes,,,,276,Create visual-only illusion. Use action to make it move. Investigation to discover.,,,,,,,,,,,
