Chill Touch,0,,1 action,120 ft.,1 creature,V,S,,,,,1 round,Ranged Spell Attack,Necrotic,DAM: 1d6,221,Extra 1d6 DAM at 5th level/ 11th level/ and 17th level. Can't regain HP.,,Cleric(Death),,,,,,,,,
Druidcraft,0,,1 action,30 ft.,See Sourcebook.,V,S,,,,,Instantaneous,,,,236,Create minor druidic effect.  See Sourcebook.,,Cleric(Nature),,,,,,,,,
Guidance,0,,1 action,Touch,1 willing creature,V,S,,,,Concentration,1 minute,,,,248,Once/ add 1d4 to an ability check.,,Cleric,,,,,,,,,
Light,0,,1 action,Touch,1 object <= 10 ft. cube,V,,M,firefly or phosphorescent moss,,,1 hour,DEX (Fail),,,255,Object sheds light in 20 ft. radious. Hostile targets get DEX save.,,Cleric,,,,,,,,,
Mending,0,,1 minute,Touch,1 object,V,S,M,two lodestones,,,Instantaneous,,,,259,Mends one break or tear no larger than 1ft. in a mundane object.,,Cleric,,,,,,,,,
Poison Spray,0,,1 action,10 ft.,1 creature,V,S,,,,,Instantaneous,CON (Fail),Poison,DAM: 1d12,266,DAM increase. 5th level: 2d12/ 11th level: 3d12/ 17th level: 4d12.,,Cleric(Nature),,,,,,,,,
Produce Flame,0,,1 action,Self,,V,S,,,,,10 minutes,Ranged Spell Attack,Fire,DAM: 1d8,269,Create flame. DAM increase. 5th level: 2d8/ 11th level: 3d8/ 17th level: 4d8.,,Cleric(Nature),,,,,,,,,
Resistance,0,,1 action,Touch,1 willing creature,V,S,M,miniature cloak,,Concentration,1 minute,,,,272,Once before spell ends/ add 1d4 to a saving throw. Roll before or after save.,,Cleric,,,,,,,,,
Sacred Flame,0,,1 action,60 ft.,1 creature,V,S,,,,,Instantaneous,DEX (Fail),Fire,DAM: 1d8,272,No cover. DAM increase. 5th level: 2d8/ 11th level: 3d8/ 17th level: 4d8.,,Cleric,,,,,,,,,
Shillelagh,0,,1 bonus action,Touch,1 club or quarterstaff,V,S,M,mistletoe/ shamrock/ weapon,,,1 minute,,,,275,Use casting ability instead of STR for attack/damage. Weapon does 1d8 DMG.,,Cleric(Nature),,,,,,,,,
Spare the Dying,0,,1 action,Touch,1 living creature at 0 HP,V,S,,,,,Instantaneous,,,,277,Stabilize dying creature.  No effect on undead or constructs.,,Cleric,,,,,,,,,
Thaumaturgy,0,,1 action,30 ft.,,V,,,,,,Up to 1 minute,,,,282,Create minor magical effect.  See Sourcebook.,,Cleric,,,,,,,,,
Thorn Whip,0,,1 action,30 ft.,,V,S,M,stem of thorny plant,,,Instantaneous,Melee Spell Attack,Piercing,DAM: 1d6,282,Pulled 10 ft to root. DAM increase. 5th level: 2d6/ 11th level: 3d6/ 17th level: 4d6.,,Cleric(Nature),,,,,,,,,
Animal Friendship,1,,1 action,30 ft.,1 beast,V,S,M,morsel of food,,,24 hours,WIS (Fail),,,212,Charm beasts with INT <= 3; spell fails if you hurt beast,One more beast,Cleric(Nature),,,,,,,,,
Bane,1,,1 action,30 ft.,<= 3 creatures,V,S,M,drop of blood,,Concentration,1 minute,CHA (Fail),,,216,Targets' attack rolls and saving throws are deducted 1d4.,One more creature,Cleric,,,,,,,,,
Bless,1,,1 action,30 ft.,<= 3 creatures,V,S,M,sprinkling of holy water,,Concentration,1 minute,,,,219,Targets add 1d4 to attack rolls and saving throws.,One more creature.,Cleric,,,,,,,,,
Burning Hands,1,,1 action,Self,15 ft. cone,V,S,,,,,Instantaneous,DEX (Half DAM),Fire,DAM: 3d6,220,Flammable objects ignite.,Extra 1d6 DAM.,Cleric(Light),,,,,,,,,
Charm Person,1,,1 action,30 ft.,1 humanoid,V,S,,,,,1 hour,Wisdom (Fail),,,221,Charm target so it treats you as friendly. Gets advantage to save if fighting you.,One more target <= 30ft.,Cleric(Trickery),,,,,,,,,
Command,1,,1 action,60 ft.,1 creature,V,,,,,,1 round,WIS (Fail),,,223,Speak 1 word command to target. Can't cause harm. Doesn't affect undead.,One more creature.,Cleric,,,,,,,,,
Create or Destroy Water,1,,1 action,30 ft.,10 gal. water/30 ft. cube of fog,V,S,M,drop of water/sand,,,Instantaneous,,,,229,Create/destroy 10 gal. of water or 30 ft. cube of rain/fog.,,Cleric,,,,,,,,,
Cure Wounds,1,,1 action,Touch,1 creature,V,S,,,,,Instantaneous,,,See Details,230,HEAL: 1d8 + spellcasting ability modifier. No effect on undead or constructs.,Extra 1d8 HEAL.,Cleric,,,,,,,,,
Detect Evil and Good,1,,1 action,Self,30 ft. radius,V,S,,,,Concentration,10 minutes,,,,231,Know location of aberration/celestial/elemental/fey/fiend/undead/(un)holy ground.,,Cleric,,,,,,,,,
