Alarm,1,Ritual,1 minute,30 ft.,1 door/window/area,V,S,M,tiny bell/ silver wire,,,8 hours,,,,211,Audible or silent alarm triggered on entry by those you haven't said can enter,,,,,,,,,,,
Animal Friendship,1,,1 action,30 ft.,1 beast,V,S,M,morsel of food,,,24 hours,WIS (Fail),,,212,Charm beasts with INT <= 3; spell fails if you hurt beast,One more beast,,,,,,,,,,
Cure Wounds,1,,1 action,Touch,1 creature,V,S,,,,,Instantaneous,,,See Details,230,HEAL: 1d8 + spellcasting ability modifier. No effect on undead or constructs.,Extra 1d8 HEAL.,,,,,,,,,,
Detect Magic,1,Ritual,1 action,Self,30 ft. radius,V,S,,,,Concentration,10 minutes,,,,231,Sense presence of magic. Use action to see auras around creatures/objects.,,,,,,,,,,,
Detect Poison and Disease,1,Ritual,1 action,Self,30 ft. radius,V,S,M,yew leaf,,Concentration,10 minutes,,,,231,Sense location and type of disease/ poison/ or poisonous creature.,,,,,,,,,,,
Ensnaring Strike,1,,1 bonus action,Self,Attack target,V,,,,,Concentration,1 minute,STR (Fail),Piercing,DAM: 1d6 a turn,237,Restrain target. Large and bigger creatures have advantage to save.,Extra 1d6 DAM.,,,,,,,,,,
Fog Cloud,1,,1 action,120 ft.,20 ft. radius sphere,V,S,,,,Concentration,1 hour,,,,243,Creates a foggy sphere.  Can be banished by moderate wind.,Increase radius by 20 ft.,,,,,,,,,,
Goodberry,1,,1 action,Touch,,V,S,M,sprig of mistletoe,,,Instantaneous,,,,246,Create <= 10 berries that HEAL 1 HP each. Expire after 24 hours.,,,,,,,,,,,
Hail of Thorns,1,,1 bonus action,Self,Self,V,,,,,Concentration,1 minute,DEX (Half DAM),Piercing,DAM: 1d10,249,Target hit by ranged attack and those adjacent who fail save hit by thorns.,Extra 1d10 DAM.,,,,,,,,,,
Hunter's Mark,1,,1 bonus action,90 ft.,1 creature,V,,,,,Concentration,1 hour,,,,251,Mark quarry. Extra 1d6 DAM on weapon hit. Advantage on rolls to find it.,3rd: duration 8hrs;5th: 24hrs,,,,,,,,,,
Jump,1,,1 action,Touch,1 creature,V,S,M,grasshopper's hind leg,,,1 minute,,,,254,Target's jump distance tripled until spell ends.,,,,,,,,,,,
Longstrider,1,,1 action,Touch,1 creature,V,S,M,pinch of dirt,,,1 hour,,,,256,Target's speed increases by 10 ft.,One additional creature.,,,,,,,,,,
Speak with Animals,1,Ritual,1 action,Self,Self,V,S,,,,,10 minutes,,,,277,Understand and speak to beasts. Get info about nearby locations and monsters.,,,,,,,,,,,
Animal Messenger,2,Ritual,1 action,30 ft.,1 Tiny beast,V,S,M,morsel of food,,,24 hours,,,,212,Beast will relay 25 word message to a target you describe,48 hours longer,,,,,,,,,,
Barkskin,2,,1 action,Touch,1 willing creature,V,S,M,oak bark,,Concentration,1 hour,,,,217,Target AC is never less than 16 during spell.,,,,,,,,,,,
Beast Sense,2,Ritual,1 action,Touch,1 willing beast,,S,,,,Concentration,1 hour,,,,217,Use action to see/hear whatever beast does.  Use action to return.,,,,,,,,,,,
Cordon of Arrows,2,,1 action,5 ft.,Spell components,V,S,M,4 pieces of ammo,,,8 hours,DEX (Fail),Piercing,DAM: 1d6,228,Ammo fired at creatures within 30 ft. Spell ends when ammo gone.,Two extra ammo.,,,,,,,,,,
Darkvision,2,,1 action,Touch,1 willing creature,V,S,M,dried carrot or agate,,,8 hours,,,,230,Grants creature darkvision (60 ft.) but can't see in Darkness aura.,,,,,,,,,,,
Find Traps,2,,1 action,120 ft.,Any trap in range,V,S,,,,,Instantaneous,,,,241,Sense the presence (not location) of any magical or mundane trap nearby.,,,,,,,,,,,
Lesser Restoration,2,,1 action,Touch,1 creature,V,S,,,,,Instantaneous,,,,255,End one disease or condition (blind/ deaf/ paralyzed/ poisoned) on target.,,,,,,,,,,,
Locate Animals or Plants,2,Ritual,1 action,Self,Kind of beast or plant,V,S,M,bloodhound fur,,,Instantaneous,,,,256,Name a kind of beast or plant and find the nearest one within 5 miles.,,,,,,,,,,,
Locate Object,2,,1 action,Self,1 object familiar to you,V,S,M,forked twig,,Concentration,10 minutes,,,,256,Sense object direction within 1000 ft. or locate it within 30 ft.,,,,,,,,,,,
Pass without Trace,2,,1 action,Self,Willing creatures in range,V,S,M,mistletoe or spruce ash,,Concentration,1 hour,,,,264,Targets get +10 to Stealth checks and can only be tracked by magic.,,,,,,,,,,,
Protection from Poison,2,,1 action,Touch,1 willing creature,V,S,,,,,1 hour,,,,270,Target has 1 poison neutralized/ advantage on poison save/ resists poison DAM.,,,,,,,,,,,
Silence,2,Ritual,1 action,120 ft.,20 ft. radius sphere,V,S,,,,Concentration,10 minutes,,,,275,Creatures in area are deafened/ immune to thunder DMG/ can't cast verbally.,,,,,,,,,,,
Spike Growth,2,,1 action,150 ft.,20 ft. radius,V,S,M,7 sharp thorns or twigs,,Concentration,10 minutes,,,,277,Difficult terrain.  Moving into or within area takes 2d4 piercing DAM per 5 ft.,,,,,,,,,,,
Conjure Animals,3,,1 action,60 ft.,,V,S,,,,Concentration,1 hour,,,,225,Summon fey spirits as creatures (total CR <= 2) that act as a group.,,,,,,,,,,,
Conjure Barrage,3,,1 action,Self,60 ft. cone,V,S,M,ammo or thrown weapon,,,Instantaneous,DEX (Half DAM),See Details,DAM: 3d8,225,Damage type is same as ammo/weapon used as component.,,,,,,,,,,,
Daylight,3,,1 action,60 ft.,60 ft. radius sphere,V,S,,,,,1 hour,,,,230,Creates bright light. Dispels darkness spells <= 3rd level it overlaps with.,,,,,,,,,,,
Lightning Arrow,3,,1 bonus action,Self,1 target,V,S,,,,Concentration,1 minute,Ranged Weapon Attack.,Lightning,DAM: 4d8,255,Creatures within 10 ft. of initial target also take 2d8 DAM (DEX save for half).,Both effects add 1d8 DAM.,,,,,,,,,,
Nondetection,3,,1 action,Touch,1 object/ place/ or willing target,V,S,M,DIAMOND DUST,25 gp,,8 hours,,,,263,Hide target from all divination and scrying magic.,,,,,,,,,,,
Plant Growth,3,,1 action or 8 hours,150 ft.,100 ft. or 1 mile radius,V,S,,,,,Instantaneous,,,,266,Cast short term (creatures move 1/4 speed) or long term (double food yield).,,,,,,,,,,,
Protection from Energy,3,,1 action,Touch,1 creature,V,S,,,,Concentration,1 hour,,,,270,Creature gains resistance to one of: acid/ cold/ fire/ lightning/ or thunder.,,,,,,,,,,,
Speak with Plants,3,,1 action,Self,30 ft. radius,V,S,,,,,10 minutes,,,,277,Animate plants to communicate with and perform tasks.  See Sourcebook.,,,,,,,,,,,
Water Breathing,3,Ritual,1 action,30 ft.,<= 10 willing creatures,V,S,M,short reed or piece of straw,,,24 hours,,,,287,Creatures gain ability to breathe underwater using normal respiration.,,,,,,,,,,,
Water Walk,3,Ritual,1 action,30 ft.,<= 10 willing creatures,V,S,M,piece of cork,,,1 hour,,,,287,Creaturess walk on liquid/ rise 60 ft. per round if under. Still take other damage.,,,,,,,,,,,
Wind Wall,3,,1 action,120 ft.,See Sourcebook.,V,S,M,tiny fan and exotic feather,,Concentration,1 minute,STR (Half DAM),Bludgeoning,DAM: 3d8,288,Strong wind keeps gases/ flying creatures/ projectiles/ gaseous creatures away.,,,,,,,,,,,
Conjure Woodland Beings,4,,1 action,60 ft.,,V,S,M,1 holly berry per creature,,Concentration,1 hour,,,,226,Summon fey creatures (CR <= 2) that obey commands.,6th: CR <= 4; 8th: CR <= 6,,,,,,,,,,
Freedom of Movement,4,,1 action,Touch,1 willing creature,V,S,M,leather strap around arm,,,1 hour,,,,244,Immune to difficult terrain/slow/paralyze/restrain. Spend 5ft to escape restrain.,,,,,,,,,,,
Grasping Vine,4,,1 bonus action,30 ft.,,V,S,,,,Concentration,1 minute,DEX (Fail),,,246,Create vine that lashes out 30 ft. away. Targets failing save pulled 20 ft. to vine.,,,,,,,,,,,
Locate Creature,4,,1 action,Self,1 creature familiar to you,V,S,M,bloodhound fur,,,Instantaneous,,,,256,Sense creature direction within 1000 ft. or locate it within 30 ft.,,,,,,,,,,,
Stoneskin,4,,1 action,Touch,1 willing creature,V,S,M,DIAMOND DUST,100 gp,Concentration,1 hour,,,,278,Target gains resistance to nonmagical bludgeoning/ piercing/ and slashing DMG.,,,,,,,,,,,
Commune with Nature,5,Ritual,1 minute,Self,,V,S,,,,,Instantaneous,,,,224,Gain knowledge of the land around you.  See Sourcebook.,,,,,,,,,,,
Conjure Volley,5,,1 action,150 ft.,40 ft. radius/ 20 ft. high cylinder,V,S,M,ammo or thrown weapon,,,Instantaneous,DEX (Half DAM),See Details,DAM: 8d8,226,Damage type is same as ammo/weapon used as component.,,,,,,,,,,,
Swift Quiver,5,,1 bonus action,Touch,Spell component,V,S,M,quiver with at least 1 ammo,,Concentration,1 minute,,,,279,Quiver produces endless ammo.Use bonus action for 2 attacks using ammo.,,,,,,,,,,,
Tree Stride,5,,1 action,Self,Self,V,S,,,,Concentration,1 minute,,,,283,Enter one tree and emerge from another 500 ft. away. Use once per round.,,,,,,,,,,,
