Acid Splash,0,,1 action,60 ft.,1 or 2 adjacent targets,V,S,,,,,Instantaneous,DEX (Fail),Acid,DAM: 1d6,211,DAM: Add extra 1d6 at 5th level/ 11th level/ and 17th level.,,,,,,,,,,,
Blade Ward,0,,1 action,Self,Self,V,S,,,,,1 round,,,,218,Gain resistance to bludgeoning/piercing/slashing DMG from weapons.,,,,,,,,,,,
Chill Touch,0,,1 action,120 ft.,1 creature,V,S,,,,,1 round,Ranged Spell Attack,Necrotic,DAM: 1d6,221,Extra 1d6 DAM at 5th level/ 11th level/ and 17th level. Can't regain HP.,,,,,,,,,,,
Dancing Lights,0,,1 action,120 ft.,,V,S,M,phosphorous or glowworm,,Concentration,1 minute,,,,230,Create 4 glowing/ hovering objects that shed light out 10 ft. Can move 60 ft.,,,,,,,,,,,
Fire Bolt,0,,1 action,120 ft.,1 creature/object,V,S,,,,,Instantaneous,Ranged Spell Attack,Fire,DAM: 1d10,242,DAM at 5th level: 2d10/ at 11th level: 3d10/ at 17th level: 4d10.,,,,,,,,,,,
Friends,0,,1 action,Self,1 non-hostile creature,,S,M,makeup applied to face,,Concentration,1 minute,,,,244,Advantage on CHA checks to target/ who knows magic used once spell ends.,,,,,,,,,,,
Mage Hand,0,,1 action,30 ft.,,V,S,,,,,1 minute,,,,256,Create spectral hand that manipulates objects. Can pick up <= 10 lbs.,,,,,,,,,,,
Mending,0,,1 minute,Touch,1 object,V,S,M,two lodestones,,,Instantaneous,,,,259,Mends one break or tear no larger than 1ft. in a mundane object.,,,,,,,,,,,
Message,0,,1 action,120 ft.,1 creature in range,V,S,M,piece of copper wire,,,1 round,,,,259,Point at target and whisper a message. They can whisper a response.,,,,,,,,,,,
Minor Illusion,0,,1 action,30 ft.,5 ft. cube,,S,M,bit of fleece,,,1 minute,,,,260,Create illusory sound or image. Investigation check against spell DC to detect.,,,,,,,,,,,
Poison Spray,0,,1 action,10 ft.,1 creature,V,S,,,,,Instantaneous,CON (Fail),Poison,DAM: 1d12,266,DAM increase. 5th level: 2d12/ 11th level: 3d12/ 17th level: 4d12.,,,,,,,,,,,
Prestidigitation,0,,1 action,10 ft.,,V,S,,,,,1 hour,,,,267,Create minor magical effect.  See Sourcebook.,,,,,,,,,,,
Ray of Frost,0,,1 action,60 ft.,1 creature in range,V,S,,,,,Instantaneous,Ranged Spell Attack,Cold,DAM: 1d8,271,Speed -10ft. DAM increase. 5th level: 2d8/ 11th level: 3d8/ 17th level: 4d8.,,,,,,,,,,,
