Alarm,1,Ritual,1 minute,30 ft.,1 door/window/area,V,S,M,"tiny bell, silver wire",,,8 hours,,,,211,Audible or silent alarm triggered on entry by those you haven't said can enter,,Abjuration,,,,,,,,
Antimagic Field,8,,1 action,10 ft. radius,Self,V,S,M,powdered iron or filings,,Concentration,1 hour,,,,213,Erects a sphere around you in which all magic no longer works.,,Abjuration,,,,,,,,
Arcane Lock,2,,1 action,Touch,1 openable object,V,S,M,GOLD DUST,25 gp,,Until Dispelled,,,,215,Locks object until password is spoken or dispel/knock. Object break DC +10.,,Abjuration,,,,,,,,
Banishment,4,,1 action,60 ft.,1 target,V,S,M,item disliked by target,,Concentration,1 minute,CHA (Fail),,,217,Banish target to another plane; native of other plane doesn't return after 1 min.,One more creature,Abjuration,,,,,,,,
Blade Ward,0,,1 action,Self,Self,V,S,,,,,1 round,,,,218,Gain resistance to bludgeoning/piercing/slashing DMG from weapons.,,Abjuration,,,,,,,,
Counterspell,3,,1 reaction (spell cast),60 ft.,1 Spellcaster,,S,,,,,Instantaneous,See Details.,,,228,Interrupt spell <= 4th. You make casting ability check (DC 10 + spell level).,Interrupt spell <= new level.,Abjuration,,,,,,,,
Dispel Magic,3,,1 action,120 ft.,1 creature/object/magical effect,V,S,,,,,Instantaneous,,,,234,"End spell <= 3rd level. For >= 4th level, casting ability check DC=10+spell level.",End spell <= new level.,Abjuration,,,,,,,,
Globe of Invulnerability,6,,1 action,Self,10 ft. radius sphere,V,S,M,glass or crystal bead,,Concentration,1 minute,,,,245,Spells <= 5th level cannot affect those within the globe.,1 higher spell level blocked.,Abjuration,,,,,,,,
Glyph of Warding,3,,1 hour,Touch,See Sourcebook.,V,S,M,"incense, DIAMOND POWDER",200 gp,,Dispel/Triggered,,,,245,Create a magical trap.  See Sourcebook.,See Sourcebook.,Abjuration,,,,,,,,
Guards and Wards,6,,10 minutes,Touch,See Sourcebook.,V,S,M,See sourcebook.,10 gp,,24 hours,,,,248,Protect an area of space.  See Sourcebook.,,Abjuration,,,,,,,,
Imprisonment,9,,1 minute,30 ft.,1 creature,V,S,M,See Sourcebook.,Source.,,Until Dispelled,WIS (Fail),,,252,Magically restrain a creature.  See sourcebook.,,Abjuration,,,,,,,,
Mage Armor,1,,1 action,Touch,1 willing creature,V,S,M,piece of cured leather,,,8 hours,,,,256,"If target isn't wearing armor, its base AC becomes 13 + DEX modifier.",,Abjuration,,,,,,,,
Magic Circle,3,,1 minute,10 ft.,"10 ft. rad., 20 ft. high cylinder",V,S,M,HOLY WATER or Fe/Ag DUST,100 gp,,1 hour,,,,256,Hinder one creature type within cylinder.  See Sourcebook.,Duration increases 1 hour.,Abjuration,,,,,,,,
Mind Blank,8,,1 action,Touch,1 willing creature,V,S,,,,,24 hours,,,,259,"Target immune to psychic damage, charm, mind reading, divinations.",,Abjuration,,,,,,,,
Mordenkainen's Private Sanctum,4,,10 minutes,120 ft.,<= 100 ft. cube,V,S,M,"lead,glass,cloth,chrysolite",,,24 hours,,,,262,Create magically secure area.  See Sourcebook.,Extra 100 ft. per cube side,Abjuration,,,,,,,,
Nondetection,3,,1 action,Touch,"1 object, place, or willing target",V,S,M,DIAMOND DUST,25 gp,,8 hours,,,,263,Hide target from all divination and scrying magic.,,Abjuration,,,,,,,,
Planar Binding,5,,1 hour,60 ft.,1 extraplanar creature,V,S,M,JEWEL,1000 gp,,24 hours,CHA (Fail),,,265,"Bind celestial, elemental, fey, or fiend to serve you for spell duration.",See Sourcebook.,Abjuration,,,,,,,,
Prismatic Wall,9,,1 action,60 ft.,90x30 ft wall or 30ft dia. sphere,V,S,,,,,Instantaneous,See Sourcebook.,See Sourcebook.,See Sourcebook.,267,Create multicolored barrier with various effects.  See Sourcebook.,,Abjuration,,,,,,,,
Protection from Energy,3,,1 action,Touch,1 creature,V,S,,,,Concentration,1 hour,,,,270,"Creature gains resistance to one of: acid, cold, fire, lightning, or thunder.",,Abjuration,,,,,,,,
Protection from Evil and Good,1,,1 action,Touch,1 willing creature,V,S,M,holy water or powdered silver,,Concentration,10 minutes,,,,270,Protect against certain types of creatures.  See Sourcebook.,,Abjuration,,,,,,,,
Remove Curse,3,,1 action,Touch,1 creature or object,V,S,,,,,Instantaneous,,,,271,Remove curse creature or break object's curse attunement to any target.,,Abjuration,,,,,,,,
